Author,Title,Sourcetitle,Volume,Issue,Pagestart,Pageend
"Dhaliwal, T.K.; Daramola, E.J.; Alonso, J.D.; Marsh, J.A.",Educators’ Beliefs and Perceptions of Implementing Restorative Practices,Education and Urban Society,55,1,88,118
"Yang, C.; Manchanda, S.; Greenstein, J.",Educators’ Online Teaching Self-Efficacy and Compassion Fatigue During the COVID-19 Pandemic: The Dual Roles of “Connect”,School Psychology,36,6,504,515
"Bell, M.L.; Dominici, F.",Effect modification by community characteristics on the short-term effects of ozone exposure and mortality in 98 US communities,American Journal of Epidemiology,167,8,986,997
"Polonsky, H.M.; Bauer, K.W.; Fisher, J.O.; Davey, A.; Sherman, S.; Abel, M.L.; Hanlon, A.; Ruth, K.J.; Dale, L.C.; Foster, G.D.",Effect of a Breakfast in the Classroom Initiative on Obesity in Urban School-aged Children: A Cluster Randomized Clinical Trial,JAMA Pediatrics,173,4,326,333
"Miller, E.; Jones, K.A.; Culyba, A.J.; Paglisotti, T.; Dwarakanath, N.; Massof, M.; Feinstein, Z.; Ports, K.A.; Espelage, D.; Pulerwitz, J.; Garg, A.; Kato-Wallace, J.; Abebe, K.Z.",Effect of a Community-Based Gender Norms Program on Sexual Violence Perpetration by Adolescent Boys and Young Men: A Cluster Randomized Clinical Trial,JAMA Network Open,3,12,,
"Davis, S.Q.; Krishnan, J.A.; Lee, K.; Persky, V.; Naureckas, E.T.",Effect of a community-wide asthma intervention on appropriate use of inhaled corticosteroids,Journal of Urban Health,88,SUPPL. 1,S144,S155
"Downs, S.M.; Bauer, N.S.; Saha, C.; Ofner, S.; Carroll, A.E.",Effect of a Computer-Based Decision Support Intervention on Autism Spectrum Disorder Screening in Pediatric Primary Care Clinics: A Cluster Randomized Clinical Trial,JAMA Network Open,2,12,,
"Hausmann, L.R.M.; Youk, A.; Kwoh, C.K.; Gallagher, R.M.; Weiner, D.K.; Vina, E.R.; Obrosky, D.S.; Mauro, G.T.; McInnes, S.; Ibrahim, S.A.",Effect of a Positive Psychological Intervention on Pain and Functional Difficulty Among Adults With Osteoarthritis: A Randomized Clinical Trial,JAMA Network Open,1,5,e182533,
"Morita, J.Y.; Ramirez, E.; Trick, W.E.",Effect of a school-entry vaccination requirement on racial and ethnic disparities in hepatitis B immunization coverage levels among public schoolstudents,Pediatrics,121,3,e547,e552
"Rasinski, K.A.; Kuby, A.; Bzdusek, S.A.; Silvestri, J.M.; Weese-Mayer, D.E.",Effect of a sudden infant death syndrome risk reduction education program on risk factor compliance and information sources in primarily black urban communities.,Pediatrics,111,4 Pt 1,e347,354
"de Havenon, A.; Sheth, K.; Johnston, K.C.; Anadani, M.; Yaghi, S.; Cundiff, D.; Ney, J.",Effect of Adjusting for Baseline Stroke Severity in the National Inpatient Sample,Stroke,52,11,E739,E741
"Fischer, S.M.; Kline, D.M.; Min, S.-J.; Okuyama-Sasaki, S.; Fink, R.M.",Effect of Apoyo con Cariño (Support With Caring) Trial of a Patient Navigator Intervention to Improve Palliative Care Outcomes for Latino Adults With Advanced Cancer: A Randomized Clinical Trial,JAMA Oncology,4,12,1736,1741
"Reinert, J.A.; Knauf, T.A.; Maranz, S.J.; Bishr, M.",Effect of Beauveria bassiana fungus on the boxelder and red shouldered bugs (Hemiptera: Rhopalidae),Florida Entomologist,82,3,469,474
"Kaphingst, K.A.; Goodman, M.S.; MacMillan, W.D.; Carpenter, C.R.; Griffey, R.T.",Effect of cognitive dysfunction on the relationship between age and health literacy,Patient Education and Counseling,95,2,218,225
"Hunt, J.T.; Kamat, R.; Yao, M.; Sharma, N.; Batur, P.",Effect of contraceptive hormonal therapy on mammographic breast density: A longitudinal cohort study,Clinical Imaging,97,,62,67
"Castaño, P.M.; Bynum, J.Y.; Andres Martinez, R.; Lara, M.; Westhoff, C.",Effect of daily text messages on oral contraceptive continuation: A randomized controlled trial,Obstetrics and Gynecology,119,1,14,20
"Syed, M.; Khaja, F.; Rybicki, B.A.; Wulbrecht, N.; Alam, M.; Sabbah, H.N.; Goldstein, S.; Borzak, S.",Effect of delay on racial differences in thrombolysis for acute myocardial infarction,American Heart Journal,140,4,643,650
"Cotter, J.J.; McDonald, K.A.; Parker, D.A.; McClish, D.K.; Pugh, C.B.; Bovbjerg, V.E.; Tipton, G.A.; Rossiter, L.F.; Smith, W.R.",Effect of different types of Medicaid managed care on childhood immunization rates,Evaluation and the Health Professions,23,4,397,408
"Joffe, M.D.; Luberti, A.",Effect of emergency department immunization on compliance with primary care,Pediatric Emergency Care,10,6,317,319
"Lee, J.; Hu, M.",Effect of Environmental and Socioeconomic Factors on Increased Early Childhood Blood Lead Levels: A Case Study in Chicago,International Journal of Environmental Research and Public Health,21,4,,
"Feinberg, E.; Augustyn, M.; Broder-Fingert, S.; Bennett, A.; Weitzman, C.; Kuhn, J.; Hickey, E.; Chu, A.; Levinson, J.; Sandler Eilenberg, J.; Silverstein, M.; Cabral, H.J.; Patts, G.; Díaz-Linhart, Y.; Rosenberg, J.; Miller, J.S.; Guevara, J.P.; Fenick, A.M.; Blum, N.J.",Effect of Family Navigation on Diagnostic Ascertainment among Children at Risk for Autism: A Randomized Clinical Trial from DBPNet,JAMA Pediatrics,175,3,243,250
"Simoes, P.; Asaad, A.; Abed, J.; Engelson, E.S.; Kotler, D.P.",Effect of Gender on the Response to Hepatitis C Treatment in an Inner-City Population,Women's Health Issues,25,3,289,293
"Karlson, E.W.; Watts, J.; Signorovitch, J.; Bonetti, M.; Wright, E.A.; Cooper, G.S.; McAlindon, T.E.; Costenbader, K.H.; Massarotti, E.M.; Fitzgerald, L.M.; Jajoo, R.; Husni, M.E.; Fossel, A.H.; Pankey, H.; Ding, W.-Z.; Knorr, R.; Condon, S.; Fraser, P.A.",Effect of glutathione S-transferase polymorphisms and proximity to hazardous waste sites on time to systemic lupus erythematosus diagnosis results from the Roxbury Lupus Project,Arthritis and Rheumatism,56,1,244,254
"Del-Carmen, M.G.; Avila-Wallace, M.",Effect of health care disparities on screening,Clinical Obstetrics and Gynecology,56,1,65,75
"Cain, L.E.; Cole, S.R.; Chmiel, J.S.; Margolick, J.B.; Rinaldo, C.R.; Detels, R.",Effect of highly active antiretroviral therapy on multiple AIDS-defining illnesses among male HIV seroconverters,American Journal of Epidemiology,163,4,310,315
"Tierney, W.M.; Harris, L.E.; Copley, J.B.; Luft, F.C.",Effect of hypertension and type II diabetes on renal function in an urban population,American Journal of Hypertension,3,1,69,75
"TAEUBER, KE",EFFECT OF INCOME REDISTRIBUTION ON RACIAL RESIDENTIAL SEGREGATION,URBAN AFFAIRS QUARTERLY,4,1,5,14
"Jang, E.S.; Hammoor, B.; Enneking, F.K.; Chan, C.M.; Spiguel, A.R.; Gibbs, C.P.; Scarborough, M.T.; Tyler, W.K.",Effect of Insurance Status on Mortality in Adults with Sarcoma of the Extremities and Pelvis: A SEER-Medicare Study,Journal of the American Academy of Orthopaedic Surgeons,31,1,E14,E22
"Jones, A.E.; Puskarich, M.A.; Shapiro, N.I.; Guirgis, F.W.; Runyon, M.; Adams, J.Y.; Sherwin, R.; Arnold, R.; Roberts, B.W.; Kurz, M.C.; Wang, H.E.; Kline, J.A.; Courtney, D.M.; Trzeciak, S.; Sterling, S.A.; Nandi, U.; Patki, D.; Viele, K.",Effect of Levocarnitine vs Placebo as an Adjunctive Treatment for Septic Shock: The Rapid Administration of Carnitine in Sepsis (RACE) Randomized Clinical Trial,JAMA Network Open,1,8,,
"Reddy, D.M.; Fleming, R.; Swain, C.",Effect of mandatory parental notification on adolescent girls' use of sexual health care services,JAMA,288,6,710,714
"Hall, K.C.; Robinson, J.C.; Karimi, M.; Sung, J.H.","Effect of Maternal Race, Residential Rurality, and Social Vulnerability on Critical Congenital Heart Defect Risk",Pediatric Cardiology,46,3,604,609
"Stipak, B.; Hensler, C.",Effect of neighborhood racial and socioeconomic composition on urban residents' evaluations of their neighborhoods,Social Indicators Research,12,3,311,320
"Davidson, M.B.",Effect of nurse-directed diabetes care in a minority population,Diabetes Care,26,8,2281,2287
"D'Agostino, E.M.; Patel, H.H.; Hansen, E.; Mathew, M.S.; Nardi, M.I.; Messiah, S.E.",Effect of participation in a park-based afterschool program on cardiovascular disease risk among severely obese youth,Public Health,159,,137,143
"Park, C.; Bahethi, R.; Yang, A.; Gray, M.; Wong, K.; Courey, M.",Effect of Patient Demographics and Tracheostomy Timing and Technique on Patient Survival,Laryngoscope,131,7,1468,1473
"Lasser, K.E.; Quintiliani, L.M.; Truong, V.; Xuan, Z.; Murillo, J.; Jean, C.; Pbert, L.",Effect of patient navigation and financial incentives on smoking cessation among primary care patients at an urban safety-net hospital: A randomized clinical trial,JAMA Internal Medicine,177,12,1798,1807
"Bhalla, S.; Natchimuthu, V.S.; Lee, J.L.; Wahid, U.; Zhu, H.; Santini, N.O.; Browning, T.; Hamann, H.A.; Johnson, D.H.; Chiu, H.; Lee, S.J.; Gerber, D.E.",Effect of Patient Navigation on Completion of Lung Cancer Screening in Vulnerable Populations,JNCCN Journal of the National Comprehensive Cancer Network,22,3,151,157
"Zollinger, T.W.; Saywell, R.M.; Robinson, J.J.; Jay, S.J.; Spitznagle, M.H.","Effect of personal characteristics on individual support for indoor smoke-free air laws, Indiana, 2009",Preventing Chronic Disease,9,10,,
"Nelson, D.B.; Sammel, M.D.; Freeman, E.W.; Lin, H.; Gracia, C.R.; Schmitz, K.H.",Effect of physical activity on menopausal symptoms among urban women,Medicine and Science in Sports and Exercise,40,1,50,58
"McGowan, E.C.; Matsui, E.C.; McCormack, M.C.; Pollack, C.E.; Peng, R.; Keet, C.A.","Effect of poverty, urbanization, and race/ethnicity on perceived food allergy in the United States","Annals of Allergy, Asthma and Immunology",115,1,85,8.60E+03
"Ducharme, B.; Macci Bires, A.; Montanye, E.; Khan, M.; Ducharme, S.; Linse, M.; Carlson, J.N.",Effect of Prehospital Blood Draws on Length of Stay for Chest Pain Patients in the Emergency Department: A Pilot Study,Critical Care Nursing Quarterly,42,2,208,214
"Keene, M.; Roston, A.; Keith, L.; Patel, A.",Effect of previous induced abortions on postabortion contraception selection,Contraception,91,5,398,402
"Siracuse, J.J.; Gill, H.L.; Epelboym, I.; Wollstein, A.; Kotsurovskyy, Y.; Catz, D.; Kim, I.-K.; Morrissey, N.J.",Effect of race and insurance status on outcomes after vascular access placement for hemodialysis,Annals of Vascular Surgery,28,4,964,969
"Raffensperger, S.; Fanelli-Kuczmarski, M.F.; Hotchkiss, L.; Cotugna, N.; Evans, M.K.; Zonderman, A.B.",Effect of race and predictors of socioeconomic status on diet quality in the HANDLS study sample,Journal of the National Medical Association,102,10,923,930
"Grau, A.M.; Ata, A.; Foster, L.; Ahmed, N.U.; Gorman, D.R.; Shyr, Y.; Stain, S.C.; Pearson, A.S.",Effect of race on long-term survival of breast cancer patients: Transinstitutional analysis from an inner city hospital and university medical center,American Surgeon,71,2,164,170
"Benavides-Vasquez, J.; Shen, C.; McDonald, A.; Wang, L.","Effect of residence in nonmetropolitan counties on stage and tumor size at diagnosis in patients with breast cancer: A Surveillance, Epidemiology, and End Results analysis",Journal of Rural Health,39,2,408,415
"Karra, M.V.; Kirksey, A.; Galal, O.; Bassily, N.S.; Harrison, G.G.; Jerome, N.W.",Effect of short-term oral zinc supplementation on theconcentration of zinc in milk from american and egyptian women,Nutrition Research,9,5,471,478
"Balthazar, P.; Narayan, A.K.; Reid, N.; Miles, R.C.; Flores, E.",Effect of Sociodemographic Factors on Utilization of an Online Patient Portal to Self-Schedule Screening Mammography: A Cross-Sectional Study,Journal of the American College of Radiology,19,7,866,873
"Williams, O.; Teresi, J.; Eimicke, J.P.; Abel-Bey, A.; Hassankhani, M.; Valdez, L.; Gomez Chan, L.; Kong, J.; Ramírez, M.; Ravenell, J.; Ogedegbe, G.; Noble, J.M.",Effect of Stroke Education Pamphlets vs a 12-Minute Culturally Tailored Stroke Film on Stroke Preparedness among Black and Hispanic Churchgoers: A Cluster Randomized Clinical Trial,JAMA Neurology,76,10,1211,1218
"Szilâgyi, P.G.; Schaffer, S.; Barth, R.; Shone, L.P.; Humiston, S.G.; Ambrose, S.; Averhoff, F.",Effect of telephone reminder/recall on adolescent immunization and preventive visits: Results from a randomized clinical trial,Archives of Pediatrics and Adolescent Medicine,160,2,157,163
"Shafi, S.; Nathens, A.B.; Elliott, A.C.; Gentilello, L.M.",Effect of trauma systems on motor vehicle occupant mortality: A comparison between states with and without a formal system,Journal of Trauma,61,6,1374,1378
"Kharod, B.V.; Johnson, P.B.; Nesti, H.A.; Rhee, D.J.",Effect of written instructions on accuracy of self-reporting medication regimen in glaucoma patients,Journal of Glaucoma,15,3,244,247
"Bazzano, A.N.; Sun, Y.; Chavez-Gray, V.; Akintimehin, T.; Gustat, J.; Barrera, D.; Roi, C.",Effect of Yoga and Mindfulness Intervention on Symptoms of Anxiety and Depression in Young Adolescents Attending Middle School: A Pragmatic Community-Based Cluster Randomized Controlled Trial in a Racially Diverse Urban Setting,International Journal of Environmental Research and Public Health,19,19,,
"Bennett, Susan V.",Effective Facets of a Field Experience That Contributed to Eight Preservice Teachers' Developing Understandings About Culturally Responsive Teaching,URBAN EDUCATION,48,3,380,419
"Jones, W.; Loe, H.",Effective policy implementation in inner city health departments,Journal of Health and Human Resources Administration,10,3,265,277
"Park, M.; Bannuru, R.R.; Price, L.L.; Harvey, W.F.; Driban, J.B.; Wang, C.",Effective recruitment strategies in an exercise trial for patients with fibromyalgia,Trials,22,1,,
"Rice, D.; Bain, T.M.; Collinsworth, A.; Boyer, K.; Fleming, N.S.; Miller, E.",Effective Strategies to Improve the Management of Diabetes: Case Illustration from the Diabetes Health and Wellness Institute,Primary Care - Clinics in Office Practice,39,2,363,379
"Watson, D.; Charner-Laird, M.; Kirkpatrick, C.L.; Szczesiul, S.A.; Gordon, P.J.","Effective teaching/effective urban teaching: Grappling with definitions, grappling with difference",Journal of Teacher Education,57,4,395,409
"Seewald, R.; Bruce, R.D.; Elam, R.; Tio, R.; Lorenz, S.; Friedmann, P.; Rabin, D.; Garger, Y.B.; Bonilla, V.; Perlman, D.C.",Effectiveness and feasibility study of routine HIV rapid testing in an urban methadone maintenance treatment program,American Journal of Drug and Alcohol Abuse,39,4,247,251
"Stanley, E.; Lewis, M.C.; Irshad, A.; Ackerman, S.; Collins, H.; Pavić, D.; Leddy, R.J.",Effectiveness of a mobile mammography program,American Journal of Roentgenology,209,6,1426,1429
"Chilukuri, N.; Cheng, T.L.; Psoter, K.J.; Mistry, K.B.; Connor, K.A.; Levy, D.J.; Upadhya, K.K.",Effectiveness of a Pediatric Primary Care Intervention to Increase Maternal Folate Use: Results from a Cluster Randomized Controlled Trial,Journal of Pediatrics,192,,247,2.52E+03
"Drainoni, M.-L.; Litwin, A.H.; Smith, B.D.; Koppelman, E.A.; McKee, M.D.; Christiansen, C.L.; Gifford, A.L.; Weinbaum, C.M.; Southern, W.N.",Effectiveness of a risk screener in identifying hepatitis C virus in a primary care setting,American Journal of Public Health,102,11,e115,e121
"Grossman, D.C.; Neckerman, H.J.; Koepsell, T.D.; Liu, P.-Y.; Asher, K.N.; Beland, K.; Frey, K.; Rivara, F.P.",Effectiveness of a violence prevention curriculum among children in elementary school: A randomized controlled trial,JAMA,277,20,1605,1611
"Schulz, A.J.; Israel, B.A.; Mentz, G.; Bernal, C.; Caver, D.; DeMajo, R.; Diaz, G.; Gamboa, C.; Gaines, C.; Hoston, B.; Opperman, A.; Reyes, A.G.; Rowe, Z.; Sand, S.L.; Woods, S.",Effectiveness of a Walking Group Intervention to Promote Physical Activity and Cardiovascular Health in Predominantly Non-Hispanic Black and Hispanic Urban Neighborhoods: Findings From the Walk Your Heart to Health Intervention,Health Education and Behavior,42,3,380,392
"Mottl-Santiago, J.; Dukhovny, D.; Cabral, H.J.; Rodrigues, D.; Spencer, L.; Valle, E.A.; Feinberg, E.",Effectiveness of an Enhanced Community Doula Intervention in a Safety Net Setting: A Randomized Controlled Trial,Health Equity,7,1,466,476
"Mitchell, S.E.; Bragg, A.; de la Cruz, B.A.; Winter, M.R.; Reichert, M.J.; Laird, L.D.; Moldovan, I.A.; Parker, K.N.; Martin-Howard, J.; Gardiner, P.","Effectiveness of an Immersive Telemedicine Platform for Delivering Diabetes Medical Group Visits for African American, Black and Hispanic, or Latina Women With Uncontrolled Diabetes: The Women in Control 2.0 Noninferiority Randomized Clinical Trial",Journal of Medical Internet Research,25,,,
"Srinivasulu, S.; Shah, S.D.; Schechter, C.B.; Prine, L.; Rubin, S.E.",Effectiveness of clinical decision support to enhance delivery of family planning services in primary care settings,Contraception,101,3,199,204
"Nell Brownstein, J.N.; Chowdhury, F.M.; Norris, S.L.; Horsley, T.; Jack, L.; Zhang, X.; Satterfield, D.",Effectiveness of Community Health Workers in the Care of People with Hypertension,American Journal of Preventive Medicine,32,5,435,447
"DiScenza, S.; Nies, M.; Jordan, C.",Effectiveness of Counseling in the Health Promotion of HIV-Positive Clients in the Community,Public Health Nursing,13,3,209,216
"McDonald, E.S.; Oustimov, A.; Weinstein, S.P.; Synnestvedt, M.B.; Mitchell, M.; Conant, E.F.",Effectiveness of digital breast tomosynthesis compared with digital mammography: Outcomes analysis from 3 years of breast cancer screening,JAMA Oncology,2,6,737,743
"Meadows, R.J.; Gehr, A.W.; Lu, Y.; Maynard, G.; Akpan, I.N.; Taskin, T.; Fulda, K.G.; Patel, D.; Matches, S.; Ojha, R.P.; Thompson, E.L.",Effectiveness of provider communication training for increasing human papillomavirus vaccine initiation at a safety-net health system,Preventive Medicine Reports,39,,,
"Grossman, E.; Shelley, D.; Braithwaite, R.S.; Lobach, I.; Goffin, A.; Rogers, E.; Sherman, S.",Effectiveness of smoking-cessation interventions for urban hospital patients: study protocol for a randomized controlled trial,Trials,13,,,
"Ciesla, A.; Lazariu, V.; Dascomb, K.; Irving, S.A.; Dixon, B.E.; Gaglani, M.; Naleway, A.L.; Grannis, S.J.; Ball, S.; Kharbanda, A.B.; Vazquez-Benitez, G.; Klein, N.P.; Natarajan, K.; Ong, T.C.; Embi, P.J.; Fleming-Dutra, K.E.; Link-Gelles, R.; Zerbo, O.","Effectiveness of the Original Monovalent and Bivalent COVID-19 Vaccines Against COVID-19-Associated Emergency Department and Urgent Care Encounters in Pregnant Persons Who Were Not Immunocompromised: VISION Network, June 2022-August 2024",Open Forum Infectious Diseases,11,9,,
"Brown, C.; Schulberg, H.C.; Sacco, D.; Perel, J.M.; Houck, P.R.",Effectiveness of treatments for major depression in primary medical care practice: A post hoc analysis of outcomes for African American and white patients,Journal of Affective Disorders,53,2,185,192
"Covell, N.H.; Donahue, S.A.; Ulaszek, W.R.; Dunakin, L.; Essock, S.M.; Felton, C.J.",Effectiveness of two methods of obtaining feedback on mental health services provided to anonymous recipients,Psychiatric Services,57,9,1324,1327
"Andersen, R.E.; Franckowiak, S.C.; Zuzak, K.B.; Cummings, E.S.; Bartlett, S.J.; Crespo, C.J.",Effects of a culturally sensitive sign on the use of stairs in African American commuters,Sozial- und Praventivmedizin,51,6,373,380
"Jindal, M.; Thornton, R.L.J.; McRae, A.; Unaka, N.; Johnson, T.J.; Mistry, K.B.",Effects of a Curriculum Addressing Racism on Pediatric Residents’ Racial Biases and Empathy,Journal of Graduate Medical Education,14,4,407,413
"Prelip, M.; Slusser, W.; Thai, C.L.; Kinsler, J.; Erausquin, J.T.","Effects of a school-based nutrition program diffused throughout a large urban community on attitudes, beliefs, and behaviors related to fruit and vegetable consumption",Journal of School Health,81,9,520,529
"Khodakarami, N.; Ukert, B.",Effects of Affordable Care Act on uninsured hospitalization: Evidence from Texas,Health Services Research,59,4,,
"Davis, K.C.; George, W.H.; Norris, J.; Schacht, R.L.; Stoner, S.A.; Hendershot, C.S.; Kajumulo, K.F.",Effects of alcohol and blood alcohol concentration limb on sexual risk-taking intentions,Journal of Studies on Alcohol and Drugs,70,4,499,507
"Reynolds, A.J.",Effects of an Experiment-Based Physical Science Program on Cognitive Outcomes,Journal of Educational Research,84,5,296,302
"Lai, Y.; Wang, C.; Civan, J.M.; Palazzo, J.P.; Ye, Z.; Hyslop, T.; Lin, J.; Myers, R.E.; Li, B.; Jiang, B.; Sama, A.; Xing, J.; Yang, H.",Effects of Cancer Stage and Treatment Differences on Racial Disparities in Survival from Colon Cancer: A United States Population-Based Study,Gastroenterology,150,5,1135,1146
"Sarka, Ebasa Belina","Effects of Childhood Adversities on Positive Adult Functioning across Racial Groups, and Examination of School Bonding as a Moderator",Dissertations & Theses,,,,
"Samson, P.; Patel, A.; Garrett, T.; Crabtree, T.; Kreisel, D.; Krupnick, A.S.; Patterson, G.A.; Broderick, S.; Meyers, B.F.; Puri, V.",Effects of delayed surgical resection on short-term and long-term outcomes in clinical stage i non-small cell lung cancer,Annals of Thoracic Surgery,99,6,1906,1913
"Lee, M.; Lam, B.O.-Y.; Madyun, N.",Effects of Different-Race Exposure in School and Neighborhood on the Reading Achievement of Hmong Students in the United States,Urban Education,52,10,1255,1283
"Rogers, M.E.; Sherwood, H.S.; Rogers, N.L.; Bohlken, R.M.",Effects of dumbbell and elastic band training on physical function in older inner-city African-American women,Women and Health,36,4,33,41
"Shepherd, Michael A.",Effects of Ethnicity and Gender on Teachers' Evaluation of Students' Spoken Responses,URBAN EDUCATION,46,5,1011,1028
"Schwarz, L.; Nguyen, A.; Schwarz, E.; Castillo, E.M.; Brennan, J.J.; Chan, T.C.; Aguilera, R.; Gershunov, A.; Benmarhnia, T.","Effects of fine particulate matter from wildfire and non-wildfire sources on emergency-department visits in people who were housed and unhoused in San Diego County (CA, USA) during 2012–20: a time-stratified case–crossover study",The Lancet Planetary Health,8,11,e906,e914
"Washington, O.G.M.",Effects of group therapy on chemically dependent women's self-efficacy,Journal of Nursing Scholarship,32,4,347,352
"Komro, K.A.; Maldonado-Molina, M.M.; Tobler, A.L.; Bonds, J.R.; Muller, K.E.",Effects of home access and availability of alcohol on young adolescents' alcohol use,Addiction,102,10,1597,1608
"Timberlake, J.M.",Effects of household and neighborhood characteristics on children's exposure to neighborhood poverty and affluence,Social Science Research,38,2,458,476
"Modesitt, S.K.; Smyser, M.; Hopkin, S.G.; Maden, C.; Klockner, R.; Fleming, D.",Effects of increasing outpatient diagnosis on aids surveillance,Journal of Acquired Immune Deficiency Syndromes (1999),6,1,91,94
"Amaro, H.; Dai, J.; Arévalo, S.; Acevedo, A.; Matsumoto, A.; Nieves, R.; Prado, G.",Effects of integrated trauma treatment on outcomes in a racially/ethnically diverse sample of women in urban community-based substance abuse treatment,Journal of Urban Health,84,4,508,522
"Azari, F.; Kennedy, G.; Zhang, K.; Bernstein, E.; Chang, A.; Nadeem, B.; Segil, A.; Deshpande, C.; Delikatny, J.; Kucharczuk, J.; Singhal, S.",Effects of Light-absorbing Carbons in Intraoperative Molecular Imaging–Guided Lung Cancer Resections,Molecular Imaging and Biology,25,1,156,167
"Garrett, B.; Davidoff, A.J.; Yemane, A.",Effects of Medicaid managed care programs on health services access and use,Health Services Research,38,2,575,594
"Roberts, R.J.; de Hamsher, K.S.",Effects of minority status on facial recognition and naming performance,Journal of Clinical Psychology,40,2,539,545
"Ye, H.; Lee, S.; Kim, H.",Effects of neighborhood characteristics on length of inpatient stay: Findings from the U.S. national data,Social Work Research,40,2,117,126
"Reichman, N.E.; Teitler, J.O.; Hamilton, E.R.",Effects of neighborhood racial composition on birthweight,Health and Place,15,3,814,821
"Weissman, G.E.; Teeple, S.; Eneanya, N.D.; Hubbard, R.A.; Kangovi, S.",Effects of Neighborhood-level Data on Performance and Algorithmic Equity of a Model That Predicts 30-day Heart Failure Readmissions at an Urban Academic Medical Center,Journal of Cardiac Failure,27,9,965,973
"Pettinato, A.A.; Loud, K.J.; Bristol, S.K.; Feldman, H.A.; Gordon, C.M.","Effects of Nutrition, Puberty, and Gender on Bone Ultrasound Measurements in Adolescents and Young Adults",Journal of Adolescent Health,39,6,828,834
"Janevic, M.R.; Baptist, A.P.; Bryant-Stephens, T.; Lara, M.; Persky, V.; Ramos-Valencia, G.; Uyeda, K.; Hazan, R.; Garrity, A.; Malveaux, F.J.",Effects of pediatric asthma care coordination in underserved communities on parent perceptions of care and asthma-management confidence,Journal of Asthma,54,5,514,519
"Rand, C.M.; Vincelli, P.; Goldstein, N.P.N.; Blumkin, A.; Szilâgyi, P.G.",Effects of Phone and Text Message Reminders on Completion of the Human Papillomavirus Vaccine Series,Journal of Adolescent Health,60,1,113,119
"Chiu, Y.-H.M.; Coull, B.A.; Sternthal, M.J.; Kloog, I.; Schwartz, J.; Cohen, S.; Wright, R.J.",Effects of prenatal community violence and ambient air pollution on childhood wheeze in an urban population,Journal of Allergy and Clinical Immunology,133,3,713,e4
"Greenwood, P.B.; Cohen, J.W.; Liu, R.; Hoepner, L.; Rauh, V.; Herbstman, J.; Pagliaccio, D.; Margolis, A.E.",Effects of prenatal polycyclic aromatic hydrocarbons and childhood material hardship on reading achievement in school-age children: A preliminary study,Frontiers in Psychology,13,,,
"Adams, E.K.; Bronstein, J.M.; Florence, C.S.",Effects of Primary Care Case Management (PCCM) on medicaid children in Alabama and Georgia: Provider availability and race/ethnicity,Medical Care Research and Review,63,1,58,87
"Beyer, C.A.; Hatchimonji, J.S.; Candido, K.; Chreiman, K.; Martin, N.; Cannon, J.W.; Reilly, P.M.; Kaufman, E.J.; Seamon, M.J.",Effects of prior injury on long term patient reported outcomes after trauma,Journal of Trauma and Acute Care Surgery,95,5,691,698
"GREEN, RJ; FURSTENBERG, GMV",EFFECTS OF RACE AND AGE OF HOUSING ON MORTGAGE DELINQUENCY RISK,URBAN STUDIES,12,1,85,89
"Rong, XL",Effects of race and gender on teachers' perception of the social behavior of elementary students,URBAN EDUCATION,31,3,261,290
"Radwin, L.E.; Cabral, H.J.; Siu Woodworth, T.",Effects of race and language on patient-centered cancer nursing care and patient outcomes,Journal of Health Care for the Poor and Underserved,24,2,619,632
"Shepherd, Michael A.","Effects of Race/Ethnicity, Gender, and Intonation on Secondary Science Teachers' Evaluation of Spoken Responses",URBAN EDUCATION,55,5,730,752
"Vinikoor, L.C.; Kaufman, J.S.; Neumark-Sztainer, R.F.; Laraia, B.A.",Effects of racial density and income incongruity on pregnancy outcomes in less segregated communities,Social Science and Medicine,66,2,255,259
"Nelson, D.B.; Sammel, M.D.; Patterson, F.; Lin, H.; Gracia, C.R.; Freeman, E.W.",Effects of reproductive history on symptoms of menopause: A brief report,Menopause,18,10,1143,1148
"Probst, J.C.; Laditka, S.B.; Wang, J.-Y.; Johnson, A.O.",Effects of residence and race on burden of travel for care: Cross sectional analysis of the 2001 US National Household Travel Survey,BMC Health Services Research,7,,,
"Torres-Small, S.; Davies, C.; Kumsa, F.A.; Maroda, A.; Shaban-Nejad, A.; Gleysteen, J.P.; Schwartz, D.L.; Wood, C.B.","Effects of Rurality, Socioeconomic Status, and Race on Head and Neck Squamous Cell Carcinoma Outcomes",Laryngoscope,135,5,1715,1723
"Ye, S.; Pope, Z.C.; Lee, J.E.; Gao, Z.",Effects of school-based exergaming on urban children’s physical activity and cardiorespiratory fitness: A quasi-experimental study,International Journal of Environmental Research and Public Health,16,21,,
"Dhanasekara, C.S.; Kahathuduwa, C.N.; Quispe-Orozco, D.; Ota, R.; Duarte-Celada, W.R.; Bushnaq, S.",Effects of Social Determinants of Health on Acute Stroke Care Among Patients With Acute Ischemic Stroke: A Retrospective Cohort Study,Neurology,103,9,,
"Wan, T.T.H.",Effects of social epidemiological factors on the severity of disability for white and nonwhite disabled,Social Biology,22,3,235,249
"Ejughemre, U.; Lyu, W.; Wehby, G.L.","Effects of the continuous Medicaid coverage provision of the family first coronavirus response act on postpartum Medicaid coverage, depression symptoms, and birth control use",Health Services Research,60,3,,
